Position, Velocity, Delta Time, 
0.024993, 0.499854, 100, 
0.099971, 0.749781, 100, 
0.224934, 1.249635, 100, 
0.399883, 1.749489, 100, 
0.624818, 2.249343, 100, 
0.899737, 2.749197, 100, 
1.224642, 3.249051, 100, 
1.599533, 3.748905, 100, 
2.024409, 4.248759, 100, 
2.499270, 4.748613, 100, 
3.024117, 5.248467, 100, 
3.598949, 5.748321, 100, 
4.223766, 6.248175, 100, 
4.898569, 6.748029, 100, 
5.580621, 6.820515, 100, 
6.219936, 6.393148, 100, 
6.809265, 5.893294, 100, 
7.348609, 5.393440, 100, 
7.837967, 4.893586, 100, 
8.277341, 4.393732, 100, 
8.666728, 3.893878, 100, 
9.006131, 3.394024, 100, 
9.295548, 2.894170, 100, 
9.534979, 2.394316, 100, 
9.724425, 1.894462, 100, 
9.863886, 1.394608, 100, 
9.953361, 0.894754, 100, 
9.992851, 0.394900, 100, 
10.000100, 0.072486, 100, 
10.000100, 0.000000, 100, 
